Country,Both sexes,Female,Male,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Afghanistan,6.0,5.7,6.2,177.2,178.6,204.5,232.5,310.3,353.4,356.8,339.7,303.9,282.6,253.2,182.4,3175.1
Albania,3.7,2.2,5.3,124.0,125.0,165.0,191.0,263.0,298.0,354.0,327.0,264.0,218.0,127.0,88.0,2544.0
Algeria,2.6,1.9,3.3,223.3,220.25,262.2,292.5,323.8,312.0,353.25,325.35,262.5,269.5,225.0,204.4,3266.5
Angola,12.6,4.7,21.7,219.0,208.0,213.0,199.0,233.0,223.0,175.0,150.0,145.0,164.0,199.0,212.0,2341.0
Antigua and Barbuda,0.3,0.6,0.0,,,,,,,,,,,,,
Argentina,8.1,3.3,13.5,238.25,207.0666666666667,185.04999999999998,170.61666666666667,151.46666666666667,123.38333333333333,138.61666666666667,170.4,174.6,208.5666666666667,222.83333333333334,229.45000000000002,2220.2999999999997
Armenia,2.7,1.0,4.9,93.0,108.0,162.0,177.0,242.0,297.0,343.0,332.0,278.0,212.0,138.0,92.0,2474.0
Australia,11.3,5.6,17.0,274.0777777777778,240.11111111111111,243.2888888888889,224.33333333333334,204.0111111111111,182.06666666666666,204.1777777777778,230.29999999999998,237.32222222222222,263.9777777777778,265.1333333333333,274.9,2843.5666666666666
Austria,10.4,4.6,16.6,66.0,106.0,128.0,183.0,239.0,228.0,260.0,251.0,168.0,139.0,66.0,51.0,1884.0
Azerbaijan,4.0,1.5,6.6,89.9,89.0,124.0,195.0,257.3,294.0,313.1,282.1,222.0,145.7,93.0,102.3,2207.4
Bahamas,3.4,1.2,5.8,,,,,,,,,,,,,
Bahrain,7.2,2.3,9.9,,,,,,,,,,,,,
Bangladesh,3.9,1.7,6.0,279.0,226.0,217.0,180.0,155.0,90.0,62.0,62.0,90.0,186.0,240.0,279.0,2066.0
Barbados,0.3,0.2,0.5,,,,,,,,,,,,,
Belarus,16.5,5.3,30.1,34.0,72.0,133.0,185.0,270.0,267.0,271.0,251.0,154.0,103.0,39.0,28.0,1807.0
Belgium,13.9,8.4,19.6,59.0,77.0,114.0,159.0,191.0,188.0,201.0,190.0,143.0,113.0,66.0,45.0,1546.0
Belize,7.7,1.8,13.6,,,,,,,,,,,,,
Benin,12.7,6.1,20.3,251.29999999999998,236.86666666666667,245.19999999999996,234.66666666666666,241.9,195.33333333333334,164.20000000000002,149.36666666666667,169.0,233.5333333333333,259.0,250.0666666666667,2630.4666666666667
Bhutan,5.1,3.1,6.8,,,,,,,,,,,,,
Bolivia,,,,182.9,152.6,148.8,165.0,222.7,240.0,235.6,217.0,189.0,179.8,171.0,186.0,2288.9
Bolivia (Plurinational State of),6.8,4.2,9.6,,,,,,,,,,,,,
Bosnia and Herzegovina,8.3,3.4,13.5,57.0,84.0,126.0,152.0,192.0,207.0,256.0,238.0,187.0,149.0,81.0,41.0,1769.0
Botswana,20.2,7.8,35.5,273.53333333333336,249.5,278.1333333333333,274.8333333333333,303.40000000000003,288.6666666666667,307.1333333333333,321.53333333333336,309.46666666666664,288.46666666666664,276.5,255.4,3426.6666666666665
Brazil,6.4,2.8,10.3,181.1727272727273,168.42727272727274,172.4090909090909,170.88181818181818,181.63636363636363,185.73636363636362,203.71818181818182,213.79090909090908,190.9909090909091,197.3,188.95454545454547,182.56363636363633,2237.581818181818
Brunei Darussalam,2.5,0.8,4.2,,,,,,,,,,,,,
Bulgaria,6.5,2.9,10.6,88.0,114.0,160.0,182.0,230.0,258.0,302.0,288.0,220.0,164.0,106.0,66.0,2177.0
Burkina Faso,14.4,6.5,24.5,289.0,265.0,272.0,262.0,280.5,268.0,249.0,238.0,239.0,276.5,288.0,282.0,3209.0
Burundi,12.1,6.4,18.9,167.4,158.2,176.7,165.0,210.8,255.0,272.8,251.1,213.0,189.1,150.0,164.3,2373.4
Cabo Verde,15.2,5.1,27.4,,,,,,,,,,,,,
Cambodia,5.5,3.1,8.4,,,,,,,,,,,,,
Cameroon,15.9,7.6,25.2,230.6,215.575,203.625,191.975,194.775,152.275,115.5,111.0,129.875,171.375,215.575,232.975,2165.125
Canada,10.3,5.4,15.3,81.98888888888888,116.41111111111111,167.60000000000002,211.33333333333334,235.82222222222222,252.05555555555554,281.93333333333334,247.2888888888889,167.83333333333334,123.0,75.26666666666667,67.67777777777778,2028.0444444444447
Central African Republic,23.0,9.3,39.6,253.3,235.5,228.3,214.05,220.85,198.45,157.35,155.25,180.0,211.1,235.15,257.2,2546.5
Chad,13.2,6.9,20.2,306.9,284.2,291.4,286.5,299.15,279.0,234.05,213.9,244.5,296.04999999999995,306.0,311.55,3353.2
Chile,8.0,3.0,13.4,326.74,281.04,269.24,215.8,178.5,156.6,170.88,188.64,206.8,249.2,286.0,312.34000000000003,2841.7799999999997
China,6.7,4.8,8.6,135.94,121.03333333333333,138.8,159.14666666666665,187.04666666666665,182.33333333333334,219.84666666666666,214.09333333333333,186.76000000000002,183.46666666666667,156.57333333333332,149.52666666666667,2028.5800000000002
Colombia,3.7,1.7,6.0,199.375,169.45,167.175,141.475,139.0,153.525,181.025,172.925,146.45,136.75,146.05,179.075,1930.775
Comoros,8.5,5.8,11.3,,,,,,,,,,,,,
